"","newid","std_lname","std_f2initial","chamber","gender","state_abb","district","party_abb","SW_politician_name","congress.gov_politician_name","icpsr_politician_id","govtrack_id","fec_candidate_id","congress.gov_terms","first_yr_in_congress","last_year_in_congress","congress_num","congress_begin_yr","congress_end_yr","icpsr_com_name","icpsr_com_id","lobbyview_com_id","maj_min","rank_within_party","senior_party_member","com_seniority","com_period_of_service","notes"
"94",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,103,1993,1994,"Veterans' affairs",388,29,1,5,0,3,2,NA
"95",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,103,1993,1994,"Indian affairs (select committee)",435,33,1,6,0,3,2,NA
"96",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,104,1995,1996,"Energy and natural resources",330,11,2,6,0,5,2,NA
"97",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,104,1995,1996,"Governmental affairs",344,9,2,6,0,5,2,NA
"98",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,104,1995,1996,"Veterans' affairs",388,29,2,3,0,5,2,NA
"99",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,104,1995,1996,"Indian affairs (select committee)",435,33,2,5,0,5,2,NA
"100",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,105,1997,1998,"Energy and natural resources",330,11,2,4,0,7,2,NA
"101",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,105,1997,1998,"Governmental affairs",344,9,2,4,0,7,2,NA
"102",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,105,1997,1998,"Veterans' affairs",388,29,2,3,0,7,2,NA
"103",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,105,1997,1998,"Indian affairs (select committee)",435,33,2,4,0,7,2,NA
"104",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,106,1999,2000,"Energy and natural resources",330,11,2,2,0,9,2,NA
"105",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,106,1999,2000,"Governmental affairs",344,9,2,3,0,9,2,NA
"106",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,106,1999,2000,"Veterans' affairs",388,29,2,3,0,9,2,NA
"107",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,106,1999,2000,"Indian affairs (select committee)",435,33,2,4,0,9,2,NA
"108",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,107,2001,2002,"Armed services",308,19,1,8,0,1,2,NA
"109",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,107,2001,2002,"Banking, housing, and urban affairs",314,24,4,11,0,1,3,"Added to committee to give Ds majority status after Jeffords' switch"
"110",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,107,2001,2002,"Energy and natural resources",330,11,1,2,0,11,2,NA
"111",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,107,2001,2002,"Governmental affairs",344,9,1,3,0,11,2,NA
"112",11,"akaka","da","S","M","HI",NA,"D","Akaka, Daniel K.","Senator Akaka, Daniel K.",14400,300001,"S0HI00084","Senate: 1990-2013 | House: 1977-1991",1977,2013,107,2001,2002,"Veterans' affairs",388,29,1,3,0,11,2,NA
